iter	Passed	Remaining
0	11	11140
1	17	8800
2	35	11727
3	55	13888
4	70	14072
5	76	12608
6	86	12255
7	120	14994
8	129	14233
9	136	13479
10	153	13806
11	170	14072
12	184	14029
13	191	13510
14	202	13273
15	210	12963
16	216	12514
17	221	12073
18	231	11952
19	236	11588
20	239	11170
21	244	10882
22	247	10493
23	250	10171
24	252	9835
25	254	9538
26	258	9303
27	260	9034
28	264	8848
29	266	8608
30	268	8386
31	273	8263
32	277	8120
33	280	7958
34	282	7791
35	284	7620
36	288	7514
37	292	7409
38	295	7275
39	297	7138
40	299	7001
41	301	6885
42	306	6814
43	308	6693
44	310	6598
45	313	6509
46	315	6400
47	317	6297
48	320	6223
49	323	6150
50	326	6071
51	328	5989
52	331	5917
53	333	5835
54	335	5771
55	337	5693
56	339	5619
57	342	5554
58	344	5490
59	346	5428
60	348	5364
61	352	5327
62	354	5268
63	356	5207
64	358	5153
65	361	5115
66	363	5063
67	366	5019
68	371	5014
69	375	4982
70	377	4935
71	379	4891
72	381	4846
73	384	4812
74	391	4824
75	394	4796
76	396	4757
77	399	4728
78	402	4695
79	404	4654
80	408	4636
81	410	4600
82	412	4561
83	416	4537
84	419	4511
85	421	4477
86	424	4450
87	426	4423
88	429	4392
89	433	4379
90	436	4361
91	438	4332
92	441	4305
93	443	4276
94	447	4262
95	451	4253
96	454	4228
97	457	4209
98	459	4185
99	462	4166
100	469	4181
101	472	4163
102	475	4137
103	477	4112
104	481	4107
105	484	4085
106	486	4064
107	489	4044
108	492	4022
109	496	4017
110	500	4007
111	503	3994
112	506	3974
113	508	3953
114	512	3940
115	515	3931
116	518	3909
117	521	3896
118	523	3877
119	525	3855
120	528	3836
121	531	3825
122	534	3811
123	537	3796
124	539	3776
125	541	3757
126	544	3741
127	547	3731
128	551	3720
129	553	3705
130	555	3685
131	557	3665
132	559	3649
133	563	3642
134	566	3630
135	569	3619
136	571	3602
137	573	3584
138	575	3567
139	580	3564
140	582	3549
141	585	3535
142	587	3518
143	589	3502
144	591	3489
145	594	3475
146	596	3458
147	597	3441
148	601	3435
149	604	3424
150	606	3408
151	608	3394
152	612	3392
153	615	3380
154	618	3370
155	621	3361
156	623	3346
157	626	3340
158	630	3333
159	634	3329
160	636	3314
161	638	3301
162	641	3295
163	649	3312
164	652	3299
165	653	3285
166	656	3272
167	662	3283
168	669	3293
169	671	3279
170	675	3272
171	677	3260
172	684	3272
173	686	3258
174	688	3246
175	694	3249
176	696	3236
177	700	3232
